Layer,Similarity,Cosine Similarity
28.input_layernorm,100.0,1.0
28.mlp.down_proj,100.0,1.0
28.mlp.gate_proj,100.0,1.0
28.mlp.up_proj,100.0,1.000000238418579
28.post_attention_layernorm,100.0,0.9999998807907104
28.self_attn.k_proj,12.216544151306152,0.9999985694885254
28.self_attn.o_proj,12.655073404312134,0.9999985694885254
28.self_attn.q_proj,12.107503414154053,0.9999985694885254
28.self_attn.v_proj,9.330391883850098,0.9999946355819702
29.input_layernorm,100.0,1.0000001192092896
29.mlp.down_proj,100.0,0.9999999403953552
29.mlp.gate_proj,100.0,1.0
29.mlp.up_proj,100.0,1.0000001192092896
29.post_attention_layernorm,100.0,1.0
29.self_attn.k_proj,12.263703346252441,0.9999986290931702
29.self_attn.o_proj,12.733995914459229,0.9999986886978149
29.self_attn.q_proj,11.561912298202515,0.9999983906745911
29.self_attn.v_proj,9.807682037353516,0.9999963641166687
30.input_layernorm,100.0,1.0000001192092896
30.mlp.down_proj,100.0,1.0
30.mlp.gate_proj,100.0,1.0
30.mlp.up_proj,100.0,1.0
30.post_attention_layernorm,100.0,1.0
30.self_attn.k_proj,11.439728736877441,0.9999982118606567
30.self_attn.o_proj,7.155865430831909,0.9999845623970032
30.self_attn.q_proj,7.911139726638794,0.9999843835830688
30.self_attn.v_proj,9.78708267211914,0.9999973177909851
31.input_layernorm,100.0,1.0
31.mlp.down_proj,100.0,1.0
31.mlp.gate_proj,100.0,1.0
31.mlp.up_proj,100.0,0.9999999403953552
31.post_attention_layernorm,100.0,1.0000001192092896
31.self_attn.k_proj,9.704852104187012,0.9999944567680359
31.self_attn.o_proj,9.55212116241455,0.9999967813491821
31.self_attn.q_proj,11.56185269355774,0.9999983906745911
31.self_attn.v_proj,8.728718757629395,0.9999943375587463
embed_tokens,100.0,0.9999999403953552
lm_head,83.16461029052734,0.9999978542327881
norm,100.0,1.0
Mean,60.35154757434151,0.9999961371683993
